CIUDAD,AÑO,SA6,CO4
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,No
Medellín,2006,NA,Si
Medellín,2006,NA,No
